stdnt_id,schl_id,sample,grade,gender,poverty,race,minority,disabili,foodsecu,ses,kfall_ma,ksprng_m,g1fall_m,g1sprng_,g3Math,kfall_re,ksprng_r,g1fall_r,g1sprn_1,g3Read,schl_typ,s2kminor,pcnt_flu,pcnt_rlu,filter_$,racenew,passmath1,int
1736,6204,2,4,2,2,1,1,2, ,1.38,24.6,38.62, ,72.61,101.48,38.18,43.16, ,81.78,133.31, , , , ,1,1,1,1
8624,6218,1,4,1,2,4,2,2, ,1.06,24.69,42.29, , ,110.92,41.11,56.44, , ,123.44, , , , ,1,4,1,1
6060,6248,2,4,1,2,2,2,2, ,.37,16.26,33.17, ,60.56,87.07,18.15,33.64, ,76.43,110.52, , , , ,1,2,0,1
2083,6290,1,4,2,2,1,1,1,1.4, ,35.42,48.54, ,66.73,105.71,51.4,59.48, ,108.81,141.35, , , , , ,1,1,1
2395,6317,1,4,1,2,2,2,1, ,.83,21.12,41.46, , ,80.11,20.16,33.05, , ,113.69, , , , ,1,2,0,1
8081,7003,1,4,2,2,2,2,2, ,.16,33.16,34.1, ,57.02,91.28,42.04,46.29, ,75.83,125.49, , , , ,1,2,0,1
5476,7023,1,4,2,2,1,1,2, , ,31.21,35.79, ,58.19,87.62,41.06,54.7, ,110.34,135.95, , , , , ,1,0,1
2708,7025,2,4,2,2,1,1,2, ,.43,14.96,35.49,40.29,60.79,99.6,21.59,27.96,37.07,47.91,106.52, , , , ,1,1,0,1
3197,7052,1,4,2,2,1,1,2, ,1.08,32.62,52.47,72.76,89.73,98.98,40.14,54.31,60.22,86.94,125.2, , , , ,1,1,0,1
3868,7053,2,4,1,2,2,2,2, , ,20.27,40.02, ,62.7,93.64,34.98,59.15, ,90.67,125.08, , , , , ,2,0,1
4519,7054,1,4,1,2,1,1,2, ,1.59,52.66,66.9, ,84.54,110.08,87.27,101.29, ,132.25,144.33, , , , ,1,1,1,1
4521,7054,2,4,2,2,1,1,2, , ,26.25,42.72, ,98.75,104.25,20.95,44.21, ,84.43,114.77, , , , , ,1,1,1
4528,7054,2,4,1,2,1,1,2, , ,14.46,33.43, ,98.75,88.54,15.95,38.55, ,83.27,106.38, , , , , ,1,0,1
4824,7055,1,4,1,2,1,1,2, , ,26.6,43.1, ,58.48,90.16,31.22,48.15, ,86.99,121.44, , , , , ,1,0,1
8214,7057,1,4,1,2,1,1,2, , ,34.51,41.52, ,90.6,94.56,26.74,44.72, ,79.52,124.53, , , , , ,1,0,1
1974,7073,2,4,2,2,1,1,2, ,.51,30.51,63.94,68.46,94.74,113.69,41.01,103.22,98.77,117.49,135.21, , , , ,1,1,1,1
1976,7073,1,4,1,2,1,1,1, ,.09,25.64,33.25,50.53,73.17,103.49,30.26,42.75,54.75,113.37,140.11, , , , ,1,1,1,1
337,7075,2,4,1,2,1,1,2, ,1.4,31.5,52.29, ,87.9,110.6,43.84,91.52, ,133.71,140.97, , , , ,1,1,1,1
5581,7098,1,4,2,2,5,2,2, ,1.07, ,30.6, ,52.28,79.59, ,38.17, ,62.2,120.2, , , , ,1,5,0,1
